provider;description;sentiment;
Infomoney;BBA volta a cobrir shoppings e tem compra para 3 maiores: Allos, Iguatemi e Multiplan;1;
Infomoney;Moraes autoriza notificação presencial de Augusto Heleno em ação da Comissão de Ética;0;
Infomoney;"Anvisa proíbe duas marcas de cosméticos irregulares; veja quais";-1;
R7;"Teto do INSS sobe, e aposentados poderão ganhar até R$ 8.475 por mês; veja o calendário";1;
R7;Não é o que você imagina: médico revela a comida que mais danifica o cérebro;-1;
R7;Apple não vai lançar iPhone 18 em 2026, diz novo relatório;-1;
R7;Acordo com a União Europeia pode reduzir preços no Brasil, mas efeitos devem levar anos;1;
R7;"IPVA 2026 começa a vencer nesta segunda-feira em SP; à vista ou a prazo, veja como pagar";0;
Exame;Salário médio no DF será o dobro do que no Nordeste em 2026, diz estudo;0;
Exame;Trump se encontrará com María Corina Machado nesta quinta-feira, diz Casa Branca;1;
Exame;Paramount processa Warner e exige divulgação de dados a acionistas;-1;
Exame;Trump quer limitar juros do cartão nos EUA e ações de bancos reagem;1;
Exame;Alphabet vira a quarta empresa do mundo a valer US$ 4 trilhões;1;
Exame;Ações da Gol sobem mais de 50% com laudo sobre saída da empresa da bolsa;0;
Exame;O que ficou mais caro (e mais barato) para o brasileiro em 2025;0;
Exame;Boletim Focus: mercado aumenta projeção da inflação de 2026;-1;
Exame;Por que corridas por aplicativo, como Uber e 99, ficaram 56% mais caras;-1;
Exame;Alimentos devem pressionar inflação em 2026, diz especialista da FGV;-1;
UOL;Teto do INSS sobe para R$ 8.475 e redefine reajustes da Previdência;1;
UOL;Ouro e prata batem recordes em meio à investigação do Fed e tensão no Irã;-1;
UOL;Presidente do Fed diz ter recebido ameaça de acusação criminal;-1;
UOL;Banco Central e TCU se reúnem para discutir liquidação do Banco Master;-1;
UOL;Gênio brasileiro encanta bilionários e entra na lista da Forbes Under 30;1;
UOL;Trump admite deixar Exxon Mobil fora da Venezuela após queixa da petroleira;-1;
UOL;CEO da Heineken renuncia após vendas fracas e pressão de investidores;-1;
UOL;Lula determina investigação federal sobre falhas da Enel em SP;1;
UOL;Não existe nenhuma rusga entre TCU e Bacen, diz presidente do tribunal;1;
UOL;Dona do Google alcança US$ 4 trilhões em valor de mercado pela 1ª vez;1;
InfoMoney;Exportações de café verde aumentam 4,8% com forte fluxo de robusta, diz a OIC;1;
InfoMoney;Estoques de milho dos EUA batem recorde em dezembro após grande colheita, diz USDA;1;
InfoMoney;Três antecessores de Powell no Fed condenam ataque sem precedentes de Trump;-1;
InfoMoney;Yellen critica investigação contra Powell nos EUA: Mercado deveria estar preocupado;-1;
InfoMoney;Goldman Sachs diz que ameaça contra Powell eleva temores com independência do Fed;-1;
InfoMoney;JPMorgan projeta que Fed deverá aumentar juros nos EUA em 2027;-1;
InfoMoney;UE: acordo com Mercosul pode ser aplicado sem ratificação do Parlamento Europeu;1;
InfoMoney;IGP-M acelera a 0,28% na 1ª prévia de janeiro, aponta FGV;-1;
InfoMoney;Boletim Focus: analistas cortam projeção de inflação em 2026;1;
InfoMoney;Powell diz que Fed foi intimado pela Justiça dos EUA e denuncia pressão política;-1;
Valor;BC concorda com inspeção de documentos sobre liquidação do Master, diz presidente do TCU;1;
Valor;Pearson vende rede de escolas de idiomas Yázigi ;0;
Valor;Análise: E o próximo presidente do Fed é... Donald Trump;-1;
Valor;Dólar fecha em leve alta e Ibovespa opera estável com nova ameaça ao Fed;-1;
Valor;Três ex-presidentes do Fed criticam o ataque ‘sem precedentes’ a Powell;-1;
Valor;CVM cria novas áreas com 35 cargos antes de mudança na presidência;1;
Valor;Leilões de energia podem atrair R$ 137 bilhões;1;
Valor;Governo Trump revogou mais de 100 mil vistos em 1 ano;-1;
Valor;Paramount processa Warner por dados de acordo com Netflix;-1;
Valor;Contratações de profissionais 50+ crescem timidamente;1;
CNN Brasil;Bitcoin avança, impulsionado por temores pela independência do Fed;0;
CNN Brasil;"Suécia investirá US$ 440 milhões em sistemas de drones militares; entenda";0;
CNN Brasil;Casa Branca: Trump não orientou Departamento de Justiça a investigar Powell;1;
CNN Brasil;Antecessores de Powell no Fed condenam ataque sem precedentes de Trump;-1;
CNN Brasil;Crises na Venezuela e no Irã ajudam a explicar a estratégia da China;-1;
CNN Brasil;GWM testa capacidade de execução com 12 lançamentos em 2026;1;
CNN Brasil;Como diretor da CVM, Otto Lobo tomou decisões favoráveis ao Banco Master;1;
CNN Brasil;Mega-Sena: quanto rendem R$ 10 milhões na poupança, Tesouro Direto ou CDB;0;
CNN Brasil;"Aneel define calendário de bandeiras tarifárias para 2026; veja";0;
CNN Brasil;Apple se une ao Google para reformulação da Siri envolvendo IA;1;
Investing;Dólar à vista fecha em alta de 0,11%, a R$5,3723 na venda;-1;
Investing;Wall Street fecha em alta com impulso de ações de tecnologia e Walmart;1;
Investing;Bank of America lista as melhores ações de tecnologia limpa dos EUA para 2026;1;
Investing;"Intelbras atualiza modelo comercial de acordo com FiberHome; empresas poderão atuar com outros parceiros";1;
Investing;MP do TCU entra com representação contra indicado por Lula para presidir CVM ;0;
Investing;Ibovespa tem queda modesta com Powell sob holofotes;-1;
Investing;Reino Unido vai acelerar lei que criminaliza deepfakes de conteúdo sexual;1;
Investing;Ibovespa fecha quase estável com Powell sob holofotes;0;
Investing;Meta revela projeto Meta Compute para criar infraestrutura de IA;1;
Época;Como petróleo foi 'bênção' e 'maldição' da Venezuela, que foi de país mais rico da América do Sul a crise sem precedentes;-1;
Época;"União Europeia aprova acordo com Mercosul, dizem agências; o que se sabe";1;
Época;Trump não deve usar sanção na eleição brasileira. Ambiente cordial com Lula é verdadeiro', diz ex-diplomata dos EUA;1;
Bloomberg;Bradesco Asset reduz exposição ao risco em ano eleitoral, diz head de investimento;1;
Bloomberg;Nvidia investirá US$ 1 bilhão em laboratório de medicamentos de IA com Eli Lilly;1;
Bloomberg;É um dos melhores momentos para investir em anos, diz head da General Atlantic no país;1;
Bloomberg;Fed recebe intimações do Departamento de Justiça, e Powell critica ‘ameaças’ de Trump;-1;
Bloomberg;Plano de IPO do Agibank tem revés com suspensão de novo crédito do INSS, dizem fontes;-1;
Bloomberg;Trump é um flashback que deixa lições que os líderes de negócios deveriam aprender;1;
Bloomberg;"Ibovespa fecha estável após pressão de Trump sobre Fed; Gol dispara 55%";1;
Bloomberg;Guiana, novo eldorado do petróleo, tem alívio com queda de Maduro na Venezuela;1;
Bloomberg;Cota chinesa para carne do Brasil vai reorganizar fluxos de produção, diz analista;0;
TradingView;Criptomoedas entram na segunda fase de adoção institucional liderada pelo Morgan Stanley, diz a Binance;1;
TradingView;Bitcoin perde para o ouro na aposta contra a desvalorização, com o BTC em mínimas de dois anos, aponta análise;-1;
TradingView;World Liberty ligada a Trump leva stablecoin de US$ 3,4 bilhões aos mercados de empréstimos cripto;1;
TradingView;Empresa de custódia de criptomoedas BitGo busca até US$ 201 milhões em IPO nos EUA;1;
TradingView;Strategy faz maior compra de Bitcoin desde julho de 2025 e adiciona US$ 1,25 bilhão em BTC;1;
TradingView;Ether pode repetir rali de 95% frente ao Bitcoin se a reversão de alta se confirmar;1;
TradingView;Standard Chartered planeja corretagem de criptomoedas e reduz projeção para o ETH;0;
TradingView;Banco da Itália modela riscos do Ethereum em caso de colapso do valor do ETH;0;
TradingView;Charles Hoskinson duvida do cronograma do CLARITY Act e diz que czar cripto de Trump deveria deixar o cargo;-1;
TradingView;Análise de preços em 12/01: SPX, DXY, BTC, ETH, XRP, BNB, SOL, DOGE, ADA e BCH;0;
Agência Brasil;Teto do seguro-desemprego sobe para R$ 2.518,65 após reajustePiso segue o salário mínimo e aumenta para R$ 1.621;1;
Agência Brasil;Cresce contratação de pessoas 50+ no comércio e nos serviços em SP;1;
Agência Brasil;BC concorda com inspeção sobre Banco Master, diz presidente do TCU;1;
Agência Brasil;Lula determina apuração de falhas da Enel em São Paulo;1;
Agência Brasil;Mercado reduz para 4,05% expectativas da inflação para 2026;1;
Agência Brasil;Confira calendário de pagamentos do INSS para 2026;0;
Agência Brasil;Dólar cai para R$ 5,36 com desaceleração do emprego nos EUA;-1;
Agência Brasil;Entenda em 13 pontos o acordo Mercosul–UE;0;
Agência Brasil;Apex estima que acordo Mercosul-UE pode elevar exportações do Brasil;1;
Agência Brasil;Empresariado brasileiro comemora avanço no acordo com União Europeia;1;
G1;Paramount processa Warner para obter detalhes sobre acordo com NetflixEmpresas disputam o controle da Warner, que reúne valiosos estúdios de cinema e televisão e uma extensa biblioteca de conteúdo.;-1;
G1;"IPCA subiu maisTeto do INSS sobe para R$ 8.475; veja como ficam os benefícios";1;
G1;Entenda as regras de transição da aposentadoria em 2026;0;
G1;Banco central americanoTrump intensifica ataque a presidente do Fed com ameaça de acusação criminal;-1;
G1;"Trump anuncia tarifa de 25% aos países que fizerem negócios com o Irã; Brasil pode ser afetadoEmpresas brasileiras importaram US$ 84,5 milhões do Irã em 2025, com destaque para ureia, pistache e uvas secas. Já as exportações ao país somaram US$ 2,9 bilhões.";-1;
G1;Master: TCU e BC chegam a acordo sobre procedimento técnico, e inspeção sequer deve ir a plenárioPreocupação com sigilo das informações foi principal alegação do BC, que, em reunião, se dispôs a retirar recurso que leva decisão de ministro para revisão do plenário do TCU.;0;
G1;Agricultores franceses inspecionam caminhões com alimentos importados em protesto contra acordo UE-MercosulProdutores pararam veículos em portos e rodovias para protestar contra o acordo comercial. Agricultores alegam concorrência desleal e pressionam governo francês.;-1;
G1;Powell reage à Casa Branca e expõe pressão política inédita sobre o Federal ReserveAo afirmar que ameaça de acusação criminal é um 'pretexto' para interferir nos juros, presidente do BC americano endurece o discurso e reacende o debate sobre a independência da instituição. Casa Branca nega interferência.;-1;
G1;Banco Master: presidente do TCU diz que inspeção na liquidação pelo BC traz 'segurança jurídica'Vital do Rêgo Filho disse que o Banco Central concordou com a realização da inspeção em documentos relacionados à liquidação da instituição financeira de Daniel Vorcaro.;1;
G1;Ex-assessora de Trump é nova presidente da MetaDina Powell McCormick foi vice-assessora de Segurança Nacional de Donald Trump. Segundo a Meta, ela se concentrará na busca de financiamento para desenvolvimento da empresa no setor de inteligência artificial.;1;
G1;"Seguro-desemprego tem novos valores em 2026; veja tabelaBeneficiários vão receber a partir de R$ 1.621 neste ano, já que o pagamento não pode ser inferior ao salário mínimo vigente.";1;
G1;BNDES aprova R$ 950 milhões para empresa construir usina de etanol de milho na BahiaUnidade em Luís Eduardo Magalhães, no oeste da Bahia, processará, por ano, até 1 milhão de toneladas de milho e 498 milhões de litros de etanol.;1;
Forbes;De Salvador a Hollywood: A Carreira de Wagner Moura no CinemaAtor entrou para a história ao vencer o Globo de Ouro pelo papel em “O Agente Secreto”;1;
Forbes;Após Ultrapassá-la em Valor de Mercado, Google Anuncia Acordo Histórico com AppleEm um movimento emblemático, a dona do iPhone confirmou que utilizará a infraestrutura e os modelos de linguagem do Google para uma Siri mais personalizada;1;
Forbes;As Previsões para a Economia Brasileira, Segundo Seis Grandes BancosVeja o que as instituições financeiras projetam para a Selic, PIB, inflação e câmbio para o final do ano;0;
Forbes;Bolsa e Dólar Fecham Quase Estáveis Apesar de Tensão nos EUAGoverno Trump ameaçou acusar criminalmente o presidente do BC americano, Jerome Powell, o que despertou receios sobre a autonomia do Federal Reserve;-1;
Forbes;Por Que o Bank of America Está Mais Otimista com o Brasil?;1;
Forbes;Governo Define Outorga Mínima de R$ 500 Milhões para Leilão de Porto em Santos;0;
Forbes;Ameaça de Trump contra Powell Aumenta Preocupações com Independência do Fed;-1;
Forbes;Paramount Processa Warner Bros para Obter Detalhes sobre Acordo com Netflix;-1;
Forbes;Gol Sobe Mais de 50% após Divulgação do Valor da Oferta para Fechamento de Capital;1;
Forbes;Trump Anuncia Programa de US$ 200 Bilhões para Tentar Reduzir Juros Imobiliários nos EUAO presidente lançou um plano de compra de títulos hipotecários via Fannie Mae e Freddie Mac para tentar reduzir taxas e ampliar a acessibilidade ao crédito imobiliário;1;
Veja;Trump diz que vai taxar em 25% países que exportam para o Irã – incluindo o Brasil;-1;
Veja;Terra Santa tem terras avaliadas em R$ 2,8 bilhões pela S&PValor supera em leve alta os R$ 2,755 bi de 2024, influenciado pela queda da soja;1;
Veja;Ibovespa tem leve baixa com preocupações sobre independência do Fed;-1;
Veja;Farmacêutica Eli Lilly e a bigtech Nvidia vão investir 1 bi de dólares em laboratório de IA;1;
Veja;Silveira pede apoio saudita e investimento do PIF em minérios estratégicosMinistro Alexandre Silveira busca apoio saudita para projetos de ferro, cobre e mapeamento geológico no Brasil;0;
Veja;O agricultor que mais vai se beneficiar do acordo UE-MercosulAcordo será assinado entre os blocos no sábado, 17, no Paraguai;1;
Veja;INSS atualiza benefícios e eleva teto para R$ 8.475 em 2026;1;
Veja;Powell ‘usa’ site oficial do Fed para um recado duro a Trump, diz economista;-1;
Veja;CEO da Heineken renuncia em meio à desaceleração do mercadoO executivo esteve no Brasil há dois meses para inaugurar sua primeira fábrica em cinco anos de gestão;-1;
Poder 360;Alphabet atinge US$ 4 trilhões em valor de mercado;-1;
Poder 360;"Dólar sobe 0,12%; Bolsa cai aos 163.290 pontos";-1;
Poder 360;TCU terá acesso aos documentos do BC sobre o caso Master;1;
Poder 360;TCU diz não ter competência para reverter liquidação do Master;0;
Poder 360;BC apoia inspeção e quer segurança jurídica do TCU, diz Vital do Rêgo;1;
Poder 360;Reunião com BC acaba com possibilidade de medida cautelar, diz Vital do Rêgo ;1;
Poder 360;INSS aumenta teto para R$ 8.475 em 2026;1;
Poder 360;BNDES aprova R$ 950 mi para usina de etanol de milho na BA;1;
Poder 360;Inter rompe contrato com patrocinadora Alfa por inadimplência ;-1;
CNBC;TCU e Banco Central: acordo por ‘selo de qualidade’ na liquidação do Banco Master;1;
CNBC;BRB pede acesso a inquérito sigiloso do Banco Master no STF;0;
CNBC;"Como o Banco Master teria desviado R$ 11,5 bilhões; entenda";-1;
CNBC;Caso Master: TCU vê atuação correta do BC e esvazia risco de sanções;1;
CNBC;Corrida global por data centers de IA acelera, e pressiona energia, custos e regulação, diz Moody’s;-1;
CNBC;Marchas pró-regime ocorrem em Teerã e outras cidades em meio a protestos;-1;
CNBC;"Em navio saído do Brasil, Espanha faz maior apreensão de cocaína em alto-mar; veja o vídeo";1;
CNBC;Cade abre inquérito contra Meta e suspende novos termos do WhatsApp sobre IA;-1;
SBT;TCU e Banco Central decidiram pela inspeção, diz presidente do Tribunal sobre liquidação do Banco Master;0;
SBT;Paramount processa Warner Bros para obter detalhes sobre acordo com Netflix;-1;
SBT;Projeção para inflação este ano no Focus cai a 4,05%;1;
SBT;Ouro bate novo recorde em meio à tensão global e pressão sobre o FedMetal avançou 2% e superou os US$ 4.600 pela primeira vez;0;
SBT;Presidente do TCU e Galípolo se reúnem para discutir inspeção sobre liquidação do Banco MasterEncontro, previsto para tarde desta segunda (12), também deve contar com participação do ministro relator do caso no Tribunal de Contas da União;0;
SBT;Aposentadorias do INSS acima do salário mínimo têm reajuste de 3,9%Aumento fica abaixo da inflação oficial do país, que acumulou 4,26% no ano passado;-1;
SBT;Acordo Mercosul-UE deve atrair investimentos, criar oportunidades e gerar empregosParceria amplia exportações e reduz tarifas, avaliam especialistas;1;
SBT;Por que corridas por aplicativo, como Uber e 99, ficaram 56% mais carasAumento foi de 56,08% em apenas um ano, a maior variação anual já registrada para esse serviço;-1;
O Antagonista;Flávio Bolsonaro promete “tesouraço”;0;
O Antagonista;Crusoé: Chefe do BC americano contra “pressão contínua” de Trump;0;
O Antagonista;Argentina ganha fôlego após reformas;1;
O Antagonista;FedEx encerra entregas domésticas no Brasil;-1;
O Antagonista;Juiz americano reconhece liquidação do Banco Master nos EUA;0;
BBC;Trump anuncia tarifa de 25% sobre países que têm negócios com o Irã;-1;
BBC;Como petróleo foi 'bênção' e 'maldição' da Venezuela, que foi de país mais rico da América do Sul a crise sem precedentes;-1;
BBC;Presidente do banco central americano, Jerome Powell vira alvo de investigação e fala em 'ameaça e pressão do governo';-1;
BBC;Toffoli e Moraes deveriam se declarar suspeitos no caso do Banco Master, diz especialista em regulação;-1;
BBC;Neorrurais': os jovens espanhóis que estão migrando para o campo por causa do alto preço de casas nas cidades;-1;
BBC;União Europeia aprova acordo com Mercosul: o que acontece agora?;1;
BBC;O que acontece agora com o ouro da Venezuela que está nos cofres do Banco da Inglaterra?;0;
BBC;Bandeira do Irã é rasgada durante mais um dia de protestos no país;-1;
BBC;Estabilização, recuperação e transição': as 3 fases do plano dos EUA para a Venezuela;1;
Jovem Pan;Haddad defende BC e diz que país enfrenta sua ‘maior fraude bancária’;-1;
Jovem Pan;Galípolo assina manifesto internacional em apoio à autonomia do Fed e a Jerome Powell;0;
Jovem Pan;Brasil tem comércio de quase US$ 3 bilhões com o Irã;0;
Jovem Pan;Banco Central e TCU decidiram pela inspeção no caso Master, diz Vital do Rêgo;0;
Jovem Pan;Teto dos benefícios pagos pelo INSS passa a ser R$ 8.475,55;0;
Jovem Pan;Mercado financeiro reduz para 4,05% expectativas da inflação para 2026;1;
Jovem Pan;Maior petrolífera dos EUA diz que é ‘impossível’ investir na Venezuela sem ‘mudanças significativas’ ;-1;
Jovem Pan;Acordo com a UE abre margem para países da Ásia, Índia e Oriente Médio quererem fazer negócio com Mercosul;1;
Jovem Pan;Acordo UE-Mercosul tem que ser analisado com cautela e atenção aos impactos na indústria, diz Fiemg;0;
Gazeta do Povo;Fila do INSSINSS retoma pagamento de bônus a servidores para reduzir fila de acesso a benefícios;1;
Gazeta do Povo;PrivilégiosCNJ limita transparência e restringe acesso a supersalários de cartorários;-1;
Gazeta do Povo;Escândalo de tráfico de influênciaDamares afirma que CPMI do INSS avançará sobre caso Master após recesso, com depoimento de Vorcaro;0;
Gazeta do Povo;Fraude no Master21 fatos e revelações sobre o Banco Master que apareceram em menos de 15 dias;-1;
Gazeta do Povo;Taxa de 25%China, Rússia, Brasil: quem são os parceiros comerciais do Irã que entraram na mira da nova tarifa de Trump;-1;
Gazeta do Povo;Liquidação do MasterBC concorda com inspeção e quer “selo de qualidade” do TCU, diz presidente da Corte;0;
Gazeta do Povo;Caso Banco MasterFGC deve começar a pagar investidores do Banco Master nos próximos dias, diz site;1;
Gazeta do Povo;Premiação“O Agente Secreto” recebeu R$ 7,5 milhões de fundo do governo;-1;
JOTA;Moraes nega novo recurso de Bolsonaro contra condenação;0;
JOTA;Quem são os possíveis candidatos a governador de São Paulo nas eleições 2026;0;
JOTA;Caso Master volta a atormentar STF e aumenta pressão sobre ministros;-1;
JOTA;Acordo Mercosul-UE pode diminuir dependência chinesa e beneficiar 22 estados brasileiros;1;
JOTA;Escândalo do Master é exemplo de coronelismo revivido no século 21;-1;
Brasil Paralelo;Esposa de Moraes não atuou nos órgãos previsto por contrato milionário com o Master, afirma Malu Gaspar;0;
Brasil Paralelo;Grandes igrejas e pastores estão envolvidos no esquema do INSS, diz Damares;-1;
Brasil Paralelo;Quem é a mulher queimando foto de ditador iraniano que se tornou símbolo dos protestos no país?;-1;
Brasil Paralelo;3 documentários sobre História do Brasil para aprender enquanto se diverte;0;
Brasil Paralelo;Jornalista venezuelano explica como funcionava o esquema de corrupção e tráfico no regime chavista;-1;
Brasil Paralelo;Jornal afirma que parentes de Dias Toffoli tiveram como sócio fundo ligado ao Banco Master;-1;
Brasil Paralelo;Elon Musk muda bandeira do Irã no X em apoio a protestos;0;
Brasil Paralelo;De volta à Lua após 50 anos: Nasa prepara missão Artemis 2 para fevereiro;1;
Brasil Paralelo;Prisão de Maduro faz vendas de conjunto da Nike aumentarem no mundo inteiro;1;
Brasil Paralelo;Indicado de Bolsonaro será o presidente do TSE durante eleições de 2026;0;
Jornal do Brasil;Tarifas de Trump só dobraram comércio do Brasil com China que bate recordeEm 2025, o volume comercial do Brasil com a China superou US$ 170 bilhões (R$ 914,77 bilhões), o dobro do negociado com os Estados Unidos;1;
Jornal do Brasil;Financiamento de veículos fecha 2025 com 7,3 milhões de unidades;0;
Jornal do Brasil;Mercado Livre demite 119 pessoas na América Latina, sendo 38 no Brasil, após avanço da IA;-1;
Jornal do Brasil;Lula determina apuração de falhas da Enel em São Paulo;0;
Jornal do Brasil;Firjan: acordo Mercosul-UE representa avanço no atual contexto geopolítico e comercial;1;
Jornal do Brasil;"Xadrez do Master, a maior crise institucional da história do mercado; por Luís Nassif";-1;
Jornal do Brasil;Profissão multimídia prejudica jornalista e radialista, diz sindicato;0;
xxx;PF prevê conclusão rápida de inquérito sobre fraudes do Master;1;
xxx;Haddad diz que caso Master pode ser a maior fraude bancária do país;-1;
xxx;Economia em 2025: entenda por que o mercado errou e a inflação surpreendeu positivamente;1;
xxx;Mercado imobiliário espera lucrar com classe média após queda nos juros e novas regras de créditoSetor projeta para 2026 mercado impulsionado por um pacote de medidas governamentais e uma expectativa de queda gradual da taxa dos financiamentos;1;
xxx;INSS 2026: veja os valores da contribuição do trabalhador domésticoOs benefícios acima do salário mínimo foram reajustados em 3,90%, índice equivalente ao INPC (Índice Nacional de Preços ao Consumidor) acumulado em 2025;0;
xxx;Financiamento de veículos fecha 2025 com 7,3 milhões de unidades, melhor resultado em 14 anosCarros usados lideraram as operações, com 4,7 milhões de unidades vendidas ao longo do ano;1;
