provider;description;topic1;topic2;topic3;sentiment;gpt-4-1-palavra-chave1;gpt-4-1-palavra-chave2;gpt-4-1-palavra-chave3;gpt-4-1-sentimento;gpt-4o-mini-palavra-chave1;gpt-4o-mini-palavra-chave2;gpt-4o-mini-palavra-chave3;gpt-4o-mini-sentimento;gpt-4-1-mini-palavra-chave1;gpt-4-1-mini-palavra-chave2;gpt-4-1-mini-palavra-chave3;gpt-4-1-mini-sentimento;gpt-5-palavra-chave1;gpt-5-palavra-chave2;gpt-5-palavra-chave3;gpt-5-sentimento;gpt-5-mini-palavra-chave1;gpt-5-mini-palavra-chave2;gpt-5-mini-palavra-chave3;gpt-5-mini-sentimento;gpt-5-nano-palavra-chave1;gpt-5-nano-palavra-chave2;gpt-5-nano-palavra-chave3;gpt-5-nano-sentimento
Valor;"Taxas de Treasuries avançam e dólar no exterior cai após intimação a Powell; NY ronda estabilidade
Abertura de investigação criminal contra presidente do Fed desencadeou um movimento de liquidação em ativos americanos, ainda que de forma restrita";Dólar;Powell;Fed;-1;Fed;investigação criminal;Powell;-1;Taxas de Treasuries;dólar;investigação criminal;-1;intimação a Powell;investigação criminal Fed;Taxas de Treasuries;-1;intimação a Powell;Taxas de Treasuries;dólar no exterior;-1;intimação a Powell;investigação criminal;Taxas de Treasuries;-1;Treasuries;Powell;investigação criminal;-1
Infomoney;Moraes autoriza notificação presencial de Augusto Heleno em ação da Comissão de Ética;Moraes;Augusto Heleno;;0;Moraes;Augusto Heleno;Comissão de Ética;0;Moraes;Augusto Heleno;Comissão de Ética;0;Moraes;Augusto Heleno;Comissão de Ética;0;Alexandre de Moraes;Augusto Heleno;Comissão de Ética;0;Moraes;Augusto Heleno;Comissão de Ética;0;Moraes;notificação;Augusto Heleno;0
Infomoney;"Anvisa proíbe duas marcas de cosméticos irregulares; veja quais";Anvisa;;;-1;Anvisa;cosméticos irregulares;proibição;-1;Anvisa;proíbe;cosméticos;-1;Anvisa;proíbe;cosméticos irregulares;-1;Anvisa;cosméticos irregulares;proibição;-1;Anvisa;proíbe;cosméticos irregulares;-1;Anvisa;proíbe;cosméticos;0
Exame;Trump se encontrará com María Corina Machado nesta quinta-feira, diz Casa Branca;Trump;;;1;Trump;María Corina Machado;Casa Branca;0;Trump;María Corina Machado;Casa Branca;0;Trump;María Corina Machado;Casa Branca;0;Trump;María Corina Machado;Casa Branca;0;Trump;María Corina Machado;Casa Branca;0;Trump;María Corina Machado;Casa Branca;0
Exame;Paramount processa Warner e exige divulgação de dados a acionistas;Paramount;Warner;;-1;Paramount;processo;Warner;-1;Paramount;Warner;dados;-1;Paramount;Warner;processa;-1;Paramount;Warner;divulgação de dados a acionistas;-1;Paramount;Warner;divulgação de dados;-1;Paramount;processa;dados;-1
UOL;Teto do INSS sobe para R$ 8.475 e redefine reajustes da Previdência;INSS;;;1;INSS;teto;Previdência;0;teto do INSS;reajustes;Previdência;1;Teto do INSS;R$ 8.475;reajustes da Previdência;1;Teto do INSS;R$ 8.475;reajustes da Previdência;0;Teto do INSS;R$ 8.475;reajustes da Previdência;1;INSS;Teto do INSS;Reajustes da Previdência;1
UOL;Ouro e prata batem recordes em meio à investigação do Fed e tensão no Irã;Ouro;Prata;;-1;ouro;prata;Fed;0;Ouro;prata;investigação;0;ouro;prata;Fed;0;ouro e prata;Fed;Irã;-1;Ouro;Prata;Tensão no Irã;0;Ouro;Prata;Fed;1
UOL;Presidente do Fed diz ter recebido ameaça de acusação criminal;Fed;;;-1;Fed;ameaça;acusação criminal;-1;Presidente do Fed;ameaça;acusação criminal;-1;Presidente do Fed;ameaça;acusação criminal;-1;acusação criminal;Presidente do Fed;ameaça;-1;Presidente do Fed;ameaça;acusação criminal;-1;Fed;ameaça;acusação;-1
UOL;Banco Central e TCU se reúnem para discutir liquidação do Banco Master;Banco Central;TCU;Banco Master;-1;Banco Central;TCU;liquidação do Banco Master;-1;Banco Central;TCU;liquidação;0;Banco Central;TCU;liquidação Banco Master;-1;liquidação do Banco Master;Banco Central;TCU;-1;liquidação;Banco Master;Banco Central;-1;Banco Central;TCU;liquidação;-1
UOL;Trump admite deixar Exxon Mobil fora da Venezuela após queixa da petroleira;Trump;Exxon Mobil;Venezuela;-1;Trump;Exxon Mobil;Venezuela;0;Trump;Exxon Mobil;Venezuela;-1;Trump;Exxon Mobil;Venezuela;-1;Trump;Exxon Mobil;Venezuela;-1;Trump;Exxon Mobil;Venezuela;0;Trump;Exxon Mobil;Venezuela;-1
InfoMoney;Exportações de café verde aumentam 4,8% com forte fluxo de robusta, diz a OIC;Café;Exportação;;1;exportações de café verde;robusta;OIC;1;exportações;café;robusta;1;Exportações;café verde;robusta;1;exportações de café verde;robusta;OIC;1;exportações de café verde;aumento 4,8%;robusta;1;exportações;café verde;robusta;1
InfoMoney;Estoques de milho dos EUA batem recorde em dezembro após grande colheita, diz USDA;Milho;EUA;;1;estoques de milho;recorde;EUA;1;milho;estoques;USDA;1;Estoques de milho;EUA;recorde;1;estoques de milho;recorde;EUA;0;estoques de milho;grande colheita;USDA;0;estoques de milho;recorde;USDA;1
Valor;BC concorda com inspeção de documentos sobre liquidação do Master, diz presidente do TCU;Banco Central;Banco Master;;1;BC;liquidação do Master;inspeção de documentos;0;BC;liquidação;TCU;0;BC;inspeção;liquidação;0;Banco Central (BC);inspeção de documentos;liquidação do Master;0;liquidação do Master;BC;inspeção de documentos;0;inspeção de documentos;liquidação do Master;Banco Central;0
Valor;Pearson vende rede de escolas de idiomas Yázigi ;Pearson;Yázigi;;0;Pearson;Yázigi;venda;0;Pearson;Yázigi;;-1;Pearson;Yázigi;venda;0;Pearson;Yázigi;venda;0;Pearson;Yázigi;venda;0;Pearson;Yázigi;venda;0
CNN Brasil;Bitcoin avança, impulsionado por temores pela independência do Fed;Bitcoin;Fed;;0;Bitcoin;independência do Fed;temores;0;Bitcoin;independência;Fed;-1;Bitcoin;avanço;Fed;0;Bitcoin;independência do Fed;temores;0;Bitcoin;independência do Fed;temores;1;Bitcoin;Fed;independência;1
CNN Brasil;Crises na Venezuela e no Irã ajudam a explicar a estratégia da China;Venezuela;Irã;China;-1;Venezuela;Irã;China;0;Crises;Venezuela;China;0;Crises;Venezuela;China;-1;estratégia da China;Venezuela;Irã;0;China;Venezuela;Irã;0;China;Venezuela;Irã;0
Investing;Wall Street fecha em alta com impulso de ações de tecnologia e Walmart;Wall Street;Walmart;;1;Wall Street;tecnologia;Walmart;1;Wall Street;ações de tecnologia;Walmart;1;Wall Street;ações de tecnologia;Walmart;1;Wall Street;ações de tecnologia;Walmart;1;Wall Street;tecnologia;Walmart;1;Wall Street;ações de tecnologia;Walmart;1
Investing;FGC garante devolução de CDBs do banco Master apesar de cláusula contratual;Banco Master;;;1;FGC;CDBs;banco Master;1;FGC;devolução;CDBs;1;FGC;devolução;CDBs;1;FGC;CDBs;Banco Master;1;FGC;CDBs;banco Master;1;FGC;devolução;CDBs;1
Época;"Como petróleo foi 'bênção' e 'maldição' da Venezuela, que foi de país mais rico da América do Sul a crise sem precedentes
";Venezuela;Petróleo;;-1;petróleo;Venezuela;crise;-1;petróleo;Venezuela;crise;-1;petróleo;Venezuela;crise;-1;petróleo;Venezuela;crise sem precedentes;-1;petróleo;crise;Venezuela;-1;petróleo;Venezuela;crise;-1
Época;"União Europeia aprova acordo com Mercosul, dizem agências; o que se sabe
";União Européia;Mercosul;;1;União Europeia;acordo;Mercosul;1;União Europeia;acordo;Mercosul;1;União Europeia;acordo;Mercosul;1;União Europeia;Mercosul;acordo;1;acordo com Mercosul;União Europeia;aprovação;0;União Europeia;Mercosul;acordo;1
Bloomberg;De Elo e Petrobras a Bvlgari: marcas capitalizam sucesso de ’O Agente Secreto’. Empresas do Brasil e do exterior apostam no filme que acumula críticas elogiosas e premiações desde o Festival de Cannes em maio passado: produção que atraiu 1,2 milhão de pessoas nos cinemas deve ter impulso com prêmios no Globo de Ouro;O Agente Secreto;;;1;O Agente Secreto;premiações;marcas;1;O Agente Secreto;críticas elogiosas;premiações;1;O Agente Secreto;marcas;premiações;1;O Agente Secreto;Elo, Petrobras e Bvlgari;Globo de Ouro;1;marcas;O Agente Secreto;premiações;1;O Agente Secreto;marcas;Festival de Cannes;1
Bloomberg;Bradesco Asset reduz exposição ao risco em ano eleitoral, diz head de investimento;Bradesco;;;1;Bradesco Asset;exposição ao risco;ano eleitoral;0;Bradesco Asset;exposição ao risco;ano eleitoral;-1;Bradesco Asset;exposição ao risco;ano eleitoral;-1;Bradesco Asset;reduz exposição ao risco;ano eleitoral;0;Bradesco Asset;exposição ao risco;ano eleitoral;0;reduz exposição ao risco;ano eleitoral;Bradesco Asset;1
Bloomberg;Nvidia investirá US$ 1 bilhão em laboratório de medicamentos de IA com Eli Lilly;Nvidia;IA;Medicamentos;1;Nvidia;Eli Lilly;laboratório de medicamentos de IA;1;Nvidia;investimento;medicamentos;1;Nvidia;investimento;medicamentos IA;1;Nvidia;Eli Lilly;laboratório de medicamentos de IA;1;Nvidia;investimento US$ 1 bilhão;Eli Lilly;1;Nvidia;Eli Lilly;IA;1
folha;Podemos estar diante da maior fraude bancária da história do país', diz Haddad sobre caso Master;Banco Master;;;-1;fraude bancária;Master;Haddad;-1;fraude;bancária;Haddad;-1;fraude bancária;Haddad;caso Master;-1;fraude bancária;caso Master;Haddad;-1;fraude bancária;caso Master;Haddad;-1;fraude bancária;caso Master;Haddad;-1
cnnbrasil;Bolsas da Europa fecham mistas, com tensões globais e Fed no radar;Economia Global ;;;-1;bolsas europeias;tensões globais;Fed;0;Bolsas;Europa;tensões globais;-1;Bolsas;Europa;tensões;-1;Bolsas da Europa;tensões globais;Fed;0;Bolsas da Europa;tensões globais;Fed;0;Bolsas da Europa;tensões globais;Fed;-1
cnnbrasil;Inflação na Argentina encerra 2025 com alta de 31,5%;Inflação;Economia Global;;-1;Inflação;Argentina;31,5%;-1;Inflação;Argentina;alta;-1;Inflação;Argentina;alta;-1;Inflação;Argentina;31,5%;-1;Inflação;Argentina;31,5%;-1;Inflação;Argentina;31,5%;-1
cnnbrasil;EUA registram déficit orçamentário recorde de US$ 145 bi em dezembro;EUA ;Gestão Pública;;-1;déficit orçamentário;EUA;recorde;-1;déficit;orçamentário;recorde;-1;EUA;déficit orçamentário;recorde;-1;déficit orçamentário;EUA;US$ 145 bi;-1;déficit orçamentário;US$ 145 bi;EUA;-1;déficit orçamentário;recorde;EUA;-1
bloombergbrasil;Preço do cacau no mercado futuro cai 50%. Mas efeito sobre chocolate ainda é limitado;Commodities;;;0;cacau;mercado futuro;chocolate;0;preço;cacau;chocolate;-1;Preço do cacau;mercado futuro;chocolate;-1;preço do cacau;mercado futuro;chocolate;-1;preço do cacau;mercado futuro;chocolate;0;cacau;mercado futuro;preço;-1
